Source,Target,Amount,LND1
3445,7460,6,"[[3445, 207, 3642, 6274, 7460], np.float64(50.000310000000006), np.int64(264), 5, 'Success']"
12730,5891,93,"[[12730, 463, 12325, 2714, 916, 5891], np.float64(10000.010269999999), np.int64(194), 6, 'Failure']"
321,1882,969,"[[321, 55, 1882], np.float64(12.89845), np.int64(80), 3, 'Success']"
9977,7554,1085,"[[9977, 7218, 3083, 6274, 7554], np.float64(0.0), np.int64(472), 5, 'Success']"
11278,2150,61909,"[[11278, 12325, 6200, 2232, 1139, 924, 2150], np.float64(399.63048999999995), np.int64(234), 7, 'Failure']"
11252,9918,722402,"[[11252, 4339, 131, 855, 9918], np.float64(7372.67497), np.int64(160), 5, 'Failure']"
3338,3477,2278629,"[[3338, 2938, 131, 3477], np.float64(12.39316), np.int64(120), 4, 'Failure']"
3101,1908,10328813,"[[3101, 321, 177, 55, 1908], np.float64(581.6641), np.int64(138), 5, 'Failure']"
10546,11315,9,"[[10546, 855, 12325, 13001, 11315], np.float64(0.02584), np.int64(148), 5, 'Success']"
9220,7170,14,"[[9220, 8768, 6274, 7170], np.float64(0.0), np.int64(328), 4, 'Success']"
9244,8150,719,"[[9244, 8768, 2223, 167, 6876, 855, 8150], np.float64(2.9865), np.int64(334), 7, 'Success']"
7178,3014,8523,"[[7178, 6274, 2223, 167, 6983, 3014], np.float64(26.08191), np.int64(294), 6, 'Success']"
3122,6740,30707,"[[3122, 1818, 167, 12325, 5660, 6740], np.float64(34.7211), np.int64(298), 6, 'Success']"
2188,6702,945488,"[[2188, 167, 6702], np.float64(0.94549), np.int64(70), 3, 'Failure']"
8055,12339,1658050,"[[8055, 3941, 11837, 2877, 4833, 6975, 12339], np.float64(15239.95776), np.int64(221), 7, 'Failure']"
675,5494,11624307,"[[675, 211, 351, 131, 233, 5494], np.float64(28500.46411), np.int64(188), 6, 'Failure']"
12197,477,1,"[[12197, 321, 12325, 477], np.float64(26.00003), np.int64(114), 4, 'Success']"
8329,12636,63,"[[8329, 6425, 6221, 612, 12636], np.float64(2.03712), np.int64(154), 5, 'Success']"
4555,9118,761,"[[4555, 3083, 7218, 8768, 9118], np.float64(0.0), np.int64(472), 5, 'Success']"
2946,8095,4256,"[[2946, 869, 233, 385, 8095], np.float64(16.43078), np.int64(148), 5, 'Failure']"
3113,10294,71692,"[[3113, 626, 10113, 4822, 10294], np.float64(1.07169), np.int64(264), 5, 'Failure']"
5031,9866,291288,"[[5031, 50, 173, 60, 1983, 12277, 9866], np.float64(78.86354), np.int64(196), 7, 'Failure']"
71,10135,1312596,"[[71, 59, 167, 3892, 10135], np.float64(75.75545000000001), np.int64(128), 5, 'Success']"
124,3214,13049029,"[[124, 91, 445, 301, 459, 3412, 2982, 3214], np.float64(28106.7182), np.int64(440), 8, 'Failure']"
9775,5460,5,"[[9775, 32, 2, 4822, 5460], np.float64(1.00249), np.int64(346), 5, 'Success']"
11191,1864,70,"[[11191, 10, 1864], np.float64(1.119), np.int64(80), 3, 'Success']"
10223,6544,320,"[[10223, 316, 2, 2573, 1358, 3414, 3811, 3184, 6544], np.float64(1.3590399999999998), np.int64(286), 9, 'Success']"
12855,12983,3728,"[[12855, 175, 12325, 12408, 12983], np.float64(2.8278600000000003), np.int64(154), 5, 'Success']"
6002,5105,41437,"[[6002, 73, 175, 53, 3804, 9454, 5105], np.float64(5.034870000000001), np.int64(190), 7, 'Success']"
10469,8325,398152,"[[10469, 855, 1955, 3883, 8325], np.float64(281.06903), np.int64(160), 5, 'Success']"
8508,8661,1369443,"[[8508, 3292, 12325, 463, 8661], np.float64(2761.83513), np.int64(134), 5, 'Failure']"
11578,2270,52123066,"[[11578, 59, 175, 64, 2270], np.float64(2869.01863), np.int64(106), 5, 'Failure']"
11875,7898,1,"[[11875, 6259, 3292, 12325, 4433, 8301, 7218, 7898], np.float64(10.00258), np.int64(358), 8, 'Success']"
