Source,Target,Amount,LND1,CLN,Eclair1
10026,2745,9,"[[10026, 1139, 645, 149, 2745], np.float64(0.028059999999999998), np.int64(264), 5, 'Success']","[[10026, 1139, 645, 149, 2745], np.float64(0.028059999999999998), np.int64(264), 5, 'Success']","[[10026, 1139, 645, 149, 2745], np.float64(0.028059999999999998), np.int64(264), 5, 'Success']"
4368,12986,10,"[[4368, 3083, 12315, 12968, 12986], np.float64(0.04013), np.int64(368), 5, 'Success']","[[4368, 3083, 12315, 12968, 12986], np.float64(0.04013), np.int64(368), 5, 'Success']","[[4368, 3083, 12315, 12968, 12986], np.float64(0.04013), np.int64(368), 5, 'Success']"
11127,7072,598,"[[11127, 11057, 6274, 7072], np.float64(0.0), np.int64(328), 4, 'Success']","[[11127, 11057, 6274, 7072], np.float64(0.0), np.int64(328), 4, 'Success']","[[11127, 11057, 6274, 7072], np.float64(0.0), np.int64(328), 4, 'Success']"
12148,6048,3343,"[[12148, 9658, 2651, 6048], np.float64(1.50145), np.int64(114), 4, 'Success']","[[12148, 9658, 2651, 6048], np.float64(1.50145), np.int64(114), 4, 'Success']","[[12148, 9658, 2651, 6048], np.float64(1.50145), np.int64(114), 4, 'Success']"
4710,11757,45737,"[[4710, 32, 11757], np.float64(23.82276), np.int64(184), 3, 'Success']","[[4710, 314, 182, 11757], np.float64(1.04774), np.int64(224), 4, 'Success']","[[4710, 32, 11757], np.float64(23.82276), np.int64(184), 3, 'Success']"
4078,3989,194961,"[[4078, 855, 173, 3989], np.float64(51.967650000000006), np.int64(120), 4, 'Success']","[[4078, 4842, 174, 173, 3989], np.float64(14.9236), np.int64(132), 5, 'Success']","[[4078, 855, 173, 3989], np.float64(51.967650000000006), np.int64(120), 4, 'Success']"
3652,2595,1913790,,"[[3652, 2, 321, 855, 2595], np.float64(385.67217), np.int64(138), 5, 'Failure']","[[3652, 2, 321, 855, 2595], np.float64(385.67217), np.int64(138), 5, 'Failure']"
4682,3642,12863034,"[[4682, 3379, 233, 3292, 3642], np.float64(1287.30468), np.int64(128), 5, 'Success']","[[4682, 3379, 6234, 167, 3642], np.float64(1314.03205), np.int64(144), 5, 'Success']","[[4682, 6378, 53, 177, 3642], np.float64(7142.58873), np.int64(236), 5, 'Success']"
6465,2367,5,"[[6465, 1411, 1139, 2367], np.float64(0.030039999999999997), np.int64(120), 4, 'Success']","[[6465, 1411, 1139, 2367], np.float64(0.030039999999999997), np.int64(120), 4, 'Success']","[[6465, 1411, 1139, 2367], np.float64(0.030039999999999997), np.int64(120), 4, 'Success']"
9364,3851,88,"[[9364, 6979, 317, 4695, 483, 3851], np.float64(2.05298), np.int64(200), 6, 'Success']","[[9364, 6979, 317, 4695, 483, 3851], np.float64(2.05298), np.int64(200), 6, 'Success']","[[9364, 6979, 317, 4695, 483, 3851], np.float64(2.05298), np.int64(200), 6, 'Success']"
4494,11678,285,"[[4494, 2584, 167, 1009, 3730, 11678], np.float64(2.00373), np.int64(190), 6, 'Success']","[[4494, 2584, 167, 1009, 3730, 11678], np.float64(2.00373), np.int64(190), 6, 'Success']","[[4494, 2584, 167, 1009, 3730, 11678], np.float64(2.00373), np.int64(190), 6, 'Success']"
1400,10717,1057,"[[1400, 36, 7218, 10294, 10717], np.float64(0.0), np.int64(400), 5, 'Success']","[[1400, 36, 7218, 10294, 10717], np.float64(0.0), np.int64(400), 5, 'Success']","[[1400, 36, 7218, 10294, 10717], np.float64(0.0), np.int64(400), 5, 'Success']"
12637,3327,67376,"[[12637, 3957, 131, 2778, 3327], np.float64(112.17067), np.int64(160), 5, 'Success']","[[12637, 3957, 2877, 2781, 2778, 3327], np.float64(79.11798), np.int64(200), 6, 'Success']","[[12637, 3957, 131, 2778, 3327], np.float64(112.17067), np.int64(160), 5, 'Success']"
2323,11268,655350,"[[2323, 321, 445, 11268], np.float64(3.3107), np.int64(120), 4, 'Success']","[[2323, 321, 445, 11268], np.float64(3.3107), np.int64(120), 4, 'Success']","[[2323, 321, 445, 11268], np.float64(3.3107), np.int64(120), 4, 'Success']"
4436,4641,1874169,"[[4436, 32, 855, 4770, 4641], np.float64(1968.6496000000002), np.int64(264), 5, 'Success']","[[4436, 172, 173, 855, 4770, 4641], np.float64(1137.31039), np.int64(178), 6, 'Success']","[[4436, 32, 855, 4770, 4641], np.float64(1968.6496000000002), np.int64(264), 5, 'Success']"
613,8595,16348360,"[[613, 301, 445, 8595], np.float64(34.69674), np.int64(120), 4, 'Success']","[[613, 301, 445, 8595], np.float64(34.69674), np.int64(120), 4, 'Success']","[[613, 301, 445, 8595], np.float64(34.69674), np.int64(120), 4, 'Success']"
2276,7257,9,"[[2276, 314, 2223, 7218, 7257], np.float64(0.002), np.int64(368), 5, 'Success']","[[2276, 314, 36, 7218, 7257], np.float64(0.00202), np.int64(400), 5, 'Success']","[[2276, 314, 2223, 7218, 7257], np.float64(0.002), np.int64(368), 5, 'Success']"
2839,1566,40,"[[2839, 182, 2, 1566], np.float64(1.00404), np.int64(202), 4, 'Success']","[[2839, 182, 2, 1566], np.float64(1.00404), np.int64(202), 4, 'Success']","[[2839, 182, 2, 1566], np.float64(1.00404), np.int64(202), 4, 'Success']"
1442,10377,319,"[[1442, 609, 2223, 10294, 10377], np.float64(0.00032), np.int64(264), 5, 'Success']","[[1442, 609, 2223, 10294, 10377], np.float64(0.00032), np.int64(264), 5, 'Success']","[[1442, 609, 2223, 10294, 10377], np.float64(0.00032), np.int64(264), 5, 'Success']"
599,11234,6727,"[[599, 233, 2877, 11234], np.float64(1.52019), np.int64(114), 4, 'Success']","[[599, 233, 2877, 11234], np.float64(1.52019), np.int64(114), 4, 'Success']","[[599, 233, 2877, 11234], np.float64(1.52019), np.int64(114), 4, 'Success']"
5939,3257,75552,"[[5939, 445, 32, 3257], np.float64(39.776039999999995), np.int64(224), 4, 'Success']","[[5939, 2938, 167, 3032, 3287, 3257], np.float64(20.85285), np.int64(190), 6, 'Success']","[[5939, 445, 32, 3257], np.float64(39.776039999999995), np.int64(224), 4, 'Success']"
3021,2374,483789,,"[[3021, 1139, 70, 175, 67, 445, 2374], np.float64(31.79373), np.int64(196), 7, 'Failure']","[[3021, 1139, 70, 321, 2374], np.float64(118.36941999999999), np.int64(160), 5, 'Failure']"
2836,7001,2194772,"[[2836, 18, 78, 6991, 7001], np.float64(128.35225), np.int64(160), 5, 'Success']","[[2836, 141, 175, 78, 6991, 7001], np.float64(125.15735000000001), np.int64(156), 6, 'Success']","[[2836, 18, 78, 6991, 7001], np.float64(128.35225), np.int64(160), 5, 'Success']"
3344,3914,12270003,"[[3344, 175, 62, 3914], np.float64(677.10016), np.int64(98), 4, 'Success']","[[3344, 175, 62, 3914], np.float64(677.10016), np.int64(98), 4, 'Success']","[[3344, 175, 61, 3914], np.float64(677.10016), np.int64(98), 4, 'Success']"
11557,5302,7,"[[11557, 73, 5302], np.float64(2.25038), np.int64(80), 3, 'Success']","[[11557, 73, 5302], np.float64(2.25038), np.int64(80), 3, 'Success']","[[11557, 73, 5302], np.float64(2.25038), np.int64(80), 3, 'Success']"
