Source,Target,Amount,LND1
11678,1625,10,"[[11678, 3730, 207, 124, 1236, 1625], np.float64(1.03252), np.int64(200), 6, 'Success']"
3091,9991,87,"[[3091, 1826, 445, 2223, 7218, 9991], np.float64(2.00018), np.int64(298), 6, 'Success']"
101,11590,758,"[[101, 182, 12325, 11590], np.float64(1.00076), np.int64(114), 4, 'Success']"
8966,2916,4857,"[[8966, 8768, 21, 2916], np.float64(15.57887), np.int64(224), 4, 'Success']"
4973,2423,72535,"[[4973, 4972, 21, 233, 2423], np.float64(1.29014), np.int64(258), 5, 'Failure']"
2680,2173,348547,"[[2680, 32, 2173], np.float64(174.92495), np.int64(184), 3, 'Success']"
11711,3412,2412220,"[[11711, 445, 3412], np.float64(3.41222), np.int64(80), 3, 'Success']"
9784,4777,10559699,"[[9784, 137, 11837, 4777], np.float64(2904.0832299999997), np.int64(124), 4, 'Failure']"
10714,730,3,"[[10714, 10294, 2223, 600, 730], np.float64(0.018049999999999997), np.int64(264), 5, 'Success']"
4634,9977,84,"[[4634, 3083, 7218, 9977], np.float64(0.0), np.int64(328), 4, 'Success']"
6819,10033,232,"[[6819, 7053, 2302, 3184, 677, 10033], np.float64(0.045009999999999994), np.int64(194), 6, 'Success']"
9611,2106,2072,"[[9611, 2584, 600, 2081, 2106], np.float64(7.23678), np.int64(160), 5, 'Success']"
11935,4395,62329,"[[11935, 894, 4395], np.float64(7.79112), np.int64(74), 3, 'Success']"
2868,4078,313445,"[[2868, 612, 4076, 4078], np.float64(1.31344), np.int64(120), 4, 'Failure']"
8662,5410,1015474,"[[8662, 32, 5410], np.float64(507.72153), np.int64(174), 3, 'Success']"
3740,182,11087091,"[[3740, 61, 175, 182], np.float64(612.04001), np.int64(98), 4, 'Failure']"
5973,6973,9,"[[5973, 56, 173, 6973], np.float64(18.00396), np.int64(98), 4, 'Success']"
1652,11034,25,"[[1652, 1236, 600, 2223, 10294, 11034], np.float64(0.025), np.int64(304), 6, 'Success']"
10740,5438,262,"[[10740, 10294, 124, 855, 5438], np.float64(0.8990100000000001), np.int64(264), 5, 'Success']"
6373,8020,8802,"[[6373, 2928, 1139, 8020], np.float64(27.41483), np.int64(120), 4, 'Success']"
8148,1863,99276,"[[8148, 7129, 6755, 320, 1863], np.float64(32.48034), np.int64(160), 5, 'Failure']"
2154,13006,441747,"[[2154, 865, 612, 13006], np.float64(2.8835), np.int64(120), 4, 'Success']"
11365,1864,1896717,"[[11365, 10047, 12325, 1864], np.float64(0.0), np.int64(114), 4, 'Success']"
3766,398,13098114,"[[3766, 894, 8260, 398], np.float64(3446.02396), np.int64(114), 4, 'Failure']"
6088,1913,5,"[[6088, 6134, 2721, 3591, 5867, 1913], np.float64(1.0036), np.int64(200), 6, 'Success']"
6610,9080,49,"[[6610, 18, 10113, 8768, 9080], np.float64(1.00005), np.int64(264), 5, 'Success']"
13065,6597,210,"[[13065, 5972, 6597], np.float64(0.021), np.int64(80), 3, 'Success']"
1862,9969,1849,"[[1862, 1, 52, 175, 9969], np.float64(3.3535500000000003), np.int64(242), 5, 'Success']"
8557,12779,22065,"[[8557, 11178, 12768, 12779], np.float64(0.19858), np.int64(120), 4, 'Failure']"
4761,8238,450050,"[[4761, 3941, 84, 8238], np.float64(296.97303), np.int64(101), 4, 'Success']"
2177,113,4166216,
73,51,12148343,"[[73, 293, 5122, 51], np.float64(353.30231000000003), np.int64(120), 4, 'Failure']"
10569,1176,1,"[[10569, 10294, 124, 1139, 1176], np.float64(0.006240000000000001), np.int64(264), 5, 'Success']"
4611,5577,98,"[[4611, 3083, 2537, 7003, 3955, 5577], np.float64(0.30196), np.int64(304), 6, 'Success']"
